,asex_alt,asex_mix,omega1,omega2,rf1,rf2,sex_alt,sex_mix,theta1,theta2
0,7.0,10.0,0.4,1.0,1e-10,1e-05,7.0,10.0,4.0,9.6
1,8.0,11.0,0.4,1.0,1e-10,1e-05,8.0,11.0,6.0,9.6
2,8.0,13.0,0.4,1.0,1e-10,1e-05,8.0,13.0,8.0,9.6
3,8.0,13.0,0.4,1.0,1e-10,1e-05,8.0,13.0,10.0,9.6
4,9.0,14.0,0.4,1.0,1e-10,1e-05,9.0,14.0,12.0,9.6
5,8.0,14.0,0.55,1.0,1e-10,1e-05,8.0,14.0,4.0,9.6
6,9.0,16.0,0.55,1.0,1e-10,1e-05,9.0,16.0,6.0,9.6
7,10.0,18.0,0.55,1.0,1e-10,1e-05,10.0,21.0,8.0,9.6
8,10.0,18.0,0.55,1.0,1e-10,1e-05,10.0,21.0,10.0,9.6
9,11.0,18.0,0.55,1.0,1e-10,1e-05,11.0,21.0,12.0,9.6
10,9.0,17.0,0.7,1.0,1e-10,1e-05,9.0,19.0,4.0,9.6
11,11.0,18.0,0.7,1.0,1e-10,1e-05,11.0,23.0,6.0,9.6
12,12.0,18.0,0.7,1.0,1e-10,1e-05,12.0,23.0,8.0,9.6
13,13.0,18.0,0.7,1.0,1e-10,1e-05,13.0,23.0,10.0,9.6
14,15.0,18.0,0.7,1.0,1e-10,1e-05,15.0,23.0,12.0,9.6
15,11.0,18.0,0.85,1.0,1e-10,1e-05,11.0,25.0,4.0,9.6
16,13.0,18.0,0.85,1.0,1e-10,1e-05,13.0,25.0,6.0,9.6
17,15.0,18.0,0.85,1.0,1e-10,1e-05,15.0,25.0,8.0,9.6
18,18.0,18.0,0.85,1.0,1e-10,1e-05,18.0,25.0,10.0,9.6
19,18.0,18.0,0.85,1.0,1e-10,1e-05,18.0,25.0,12.0,9.6
20,13.0,18.0,1.0,1.0,1e-10,1e-05,13.0,26.0,4.0,9.6
21,17.0,18.0,1.0,1.0,1e-10,1e-05,17.0,28.0,6.0,9.6
22,18.0,18.0,1.0,1.0,1e-10,1e-05,18.0,29.0,8.0,9.6
23,18.0,17.0,1.0,1.0,1e-10,1e-05,18.0,31.0,10.0,9.6
24,18.0,18.0,1.0,1.0,1e-10,1e-05,18.0,32.0,12.0,9.6
25,7.0,10.0,0.4,1.0,3.1622776601683795e-09,1e-05,7.0,10.0,4.0,9.6
26,8.0,11.0,0.4,1.0,3.1622776601683795e-09,1e-05,8.0,11.0,6.0,9.6
27,8.0,13.0,0.4,1.0,3.1622776601683795e-09,1e-05,8.0,13.0,8.0,9.6
28,8.0,13.0,0.4,1.0,3.1622776601683795e-09,1e-05,8.0,13.0,10.0,9.6
29,9.0,14.0,0.4,1.0,3.1622776601683795e-09,1e-05,9.0,14.0,12.0,9.6
30,8.0,14.0,0.55,1.0,3.1622776601683795e-09,1e-05,8.0,14.0,4.0,9.6
31,9.0,15.0,0.55,1.0,3.1622776601683795e-09,1e-05,9.0,16.0,6.0,9.6
